"District","Member"
"New York 15","Ritchie Torres"
"New York 16","Jamaal Bowman"
"New York 17","Mondaire Jones"
"New York 18","Sean Patrick Maloney"
"New York 19","Antonio Delgado"
"New York 20","Paul Tonko"
"New York 21","Elise Stefanik"
"New York 22","VACANT"
"New York 23","Tom Reed"
"New York 24","John Katko"
"New York 25","Joseph Morelle"
"New York 26","Brian Higgins"
"New York 27","Chris Jacobs"
"North Carolina 1","G. K. Butterfield"
"North Carolina 2","Deborah Ross"
"North Carolina 3","Greg Murphy"
"North Carolina 4","David Price"
"North Carolina 5","Virginia Foxx"
"North Carolina 6","Kathy Manning"
"North Carolina 7","David Rouzer"
"North Carolina 8","Richard Hudson"
"North Carolina 9","Dan Bishop"
"North Carolina 10","Patrick McHenry"
"North Carolina 11","Madison Cawthorn"
"North Carolina 12","Alma Adams"
"North Carolina 13","Ted Budd"
"North Dakota at-large","Kelly Armstrong"
"Ohio 1","Steve Chabot"
"Ohio 2","Brad Wenstrup"
"Ohio 3","Joyce Beatty"
"Ohio 4","Jim Jordan"
"Ohio 5","Bob Latta"
"Ohio 6","Bill Johnson"
"Ohio 7","Bob Gibbs"
"Ohio 8","Warren Davidson"
"Ohio 9","Marcy Kaptur"
"Ohio 10","Mike Turner"
"Ohio 11","Marcia Fudge"
"Ohio 12","Troy Balderson"
"Ohio 13","Tim Ryan"
"Ohio 14","David Joyce"
"Ohio 15","Steve Stivers"
"Ohio 16","Anthony Gonzalez"
"Oklahoma 1","Kevin Hern"
"Oklahoma 2","Markwayne Mullin"
"Oklahoma 3","Frank Lucas"
"Oklahoma 4","Tom Cole"
"Oklahoma 5","Stephanie Bice"
"Oregon 1","Suzanne Bonamici"
"Oregon 2","Cliff Bentz"
"Oregon 3","Earl Blumenauer"
"Oregon 4","Peter DeFazio"
"Oregon 5","Kurt Schrader"
"Pennsylvania 1","Brian Fitzpatrick"
"Pennsylvania 2","Brendan Boyle"
"Pennsylvania 3","Dwight Evans"
"Pennsylvania 4","Madeleine Dean"
"Pennsylvania 5","Mary Gay Scanlon"
"Pennsylvania 6","Chrissy Houlahan"
"Pennsylvania 7","Susan Wild"
"Pennsylvania 8","Matt Cartwright"
"Pennsylvania 9","Dan Meuser"
"Pennsylvania 10","Scott Perry"
"Pennsylvania 11","Lloyd Smucker"
"Pennsylvania 12","Fred Keller"
"Pennsylvania 13","John Joyce"
"Pennsylvania 14","Guy Reschenthaler"
